timestamp,symbol,buy_ex,buy,sell_ex,sell,edge_pct
2025-09-10T15:44:23.543802+00:00,BTC/USD,bitfinex,113850.0,bitstamp,113906.0,0.049187527448397016
2025-09-10T15:44:23.543802+00:00,XRP/USD,bitfinex,3.0044,coinbase,3.0059,0.04992677406470699
2025-09-10T15:46:24.701448+00:00,BTC/USD,bitfinex,113880.0,coinbase,113928.41,0.042509659290484274
2025-09-10T15:46:24.701448+00:00,XRP/USD,bitstamp,3.00502,coinbase,3.0067,0.05590644987387451
2025-09-10T15:48:23.041931+00:00,BTC/USD,bitfinex,113800.0,bitstamp,113891.0,0.07996485061511424
2025-09-10T15:48:23.041931+00:00,XRP/USD,bitfinex,3.0018,coinbase,3.0045,0.08994603238058395
2025-09-10T15:50:23.875082+00:00,BTC/USD,bitfinex,113830.0,coinbase,113894.5,0.05666344548888694
2025-09-10T15:50:23.875082+00:00,XRP/USD,bitfinex,3.0029,bitstamp,3.00512,0.07392853574877248
2025-09-10T15:52:24.381139+00:00,BTC/USD,bitfinex,113830.0,bitstamp,113893.0,0.05534569094263375
2025-09-10T15:52:24.381139+00:00,XRP/USD,bitfinex,3.0045,kraken,3.00632,0.06057580296222109
2025-09-10T15:54:22.086371+00:00,BTC/USD,bitfinex,113840.0,coinbase,113922.29,0.07228566408994518
2025-09-10T15:54:22.086371+00:00,XRP/USD,bitfinex,3.0032,coinbase,3.0054,0.0732551944592354
2025-09-10T15:56:23.359294+00:00,BTC/USD,kraken,113867.5,bitstamp,113917.0,0.0434715788087031
2025-09-10T15:56:23.359294+00:00,XRP/USD,bitfinex,3.0041,coinbase,3.0049,0.026630271961649476
2025-09-10T15:58:25.325174+00:00,BTC/USD,kraken,113868.9,coinbase,113918.03,0.043146109253716036
2025-09-10T15:58:25.325174+00:00,XRP/USD,bitfinex,3.0026,bitstamp,3.00297,0.012322653700118542
2025-09-10T16:00:25.824779+00:00,BTC/USD,kraken,113892.3,coinbase,113941.05,0.04280359602887992
2025-09-10T16:00:25.824779+00:00,XRP/USD,kraken,3.00258,bitstamp,3.00439,0.06028149125085318
2025-09-10T16:02:27.054167+00:00,BTC/USD,bitfinex,113870.0,kraken,113945.1,0.06595240186177731
2025-09-10T16:02:27.054167+00:00,XRP/USD,kraken,3.00342,bitstamp,3.00566,0.07458164359297133
2025-09-10T16:04:23.239776+00:00,BTC/USD,bitfinex,113850.0,bitstamp,113896.0,0.0404040404040404
2025-09-10T16:04:23.239776+00:00,XRP/USD,bitfinex,3.0019,bitstamp,3.0028,0.02998101202572114
2025-09-10T16:06:25.150129+00:00,BTC/USD,bitfinex,113850.0,kraken,113889.6,0.03478260869565729
2025-09-10T16:06:25.150129+00:00,XRP/USD,kraken,3.00001,coinbase,3.0009,0.029666567778109318
2025-09-10T16:08:25.096518+00:00,BTC/USD,bitfinex,113780.0,kraken,113862.3,0.07233257162946292
2025-09-10T16:08:25.096518+00:00,XRP/USD,bitfinex,2.9971,kraken,2.99901,0.06372827066164219
2025-09-10T16:10:23.962405+00:00,BTC/USD,bitfinex,113730.0,bitstamp,113815.0,0.07473841554559044
2025-09-10T16:10:23.962405+00:00,XRP/USD,kraken,2.99451,bitstamp,2.99749,0.09951544660061187
