timestamp,symbol,min_ex,min_price,max_ex,max_price,spread_abs,spread_pct
2025-09-10T15:38:24.181525+00:00,BTC/USD,coinbase,113819.38,kraken,113859.9,40.51999999998952,0.03560026420807205
2025-09-10T15:38:24.181525+00:00,XRP/USD,kraken,2.99737,bitstamp,2.99755,0.00017999999999984695,0.006005264615307651
2025-09-10T15:40:23.193782+00:00,BTC/USD,bitfinex,113830.0,bitstamp,113868.0,38.0,0.03338311517174734
2025-09-10T15:40:23.193782+00:00,XRP/USD,bitfinex,2.9988,coinbase,2.9992,0.00039999999999995595,0.013338668800852205
2025-09-10T15:42:24.021466+00:00,XRP/USD,bitfinex,3.0019,coinbase,3.0054,0.0034999999999998366,0.11659282454444973
2025-09-10T15:42:24.021466+00:00,BTC/USD,bitfinex,113830.0,bitstamp,113936.0,106.0,0.09312132126855838
2025-09-10T15:44:23.543802+00:00,XRP/USD,bitfinex,3.0044,coinbase,3.0059,0.0015000000000000568,0.04992677406470699
2025-09-10T15:44:23.543802+00:00,BTC/USD,bitfinex,113850.0,bitstamp,113906.0,56.0,0.049187527448397016
2025-09-10T15:46:24.701448+00:00,XRP/USD,bitstamp,3.00502,coinbase,3.0067,0.0016799999999999038,0.05590644987387451
2025-09-10T15:46:24.701448+00:00,BTC/USD,bitfinex,113880.0,coinbase,113928.41,48.41000000000349,0.042509659290484274
2025-09-10T15:48:23.041931+00:00,XRP/USD,bitfinex,3.0018,coinbase,3.0045,0.0027000000000003688,0.08994603238058395
2025-09-10T15:48:23.041931+00:00,BTC/USD,bitfinex,113800.0,bitstamp,113891.0,91.0,0.07996485061511424
2025-09-10T15:50:23.875082+00:00,XRP/USD,bitfinex,3.0029,bitstamp,3.00512,0.0022199999999998887,0.07392853574877248
2025-09-10T15:50:23.875082+00:00,BTC/USD,bitfinex,113830.0,coinbase,113894.5,64.5,0.05666344548888694
2025-09-10T15:52:24.381139+00:00,XRP/USD,bitfinex,3.0045,kraken,3.00632,0.0018199999999999328,0.06057580296222109
2025-09-10T15:52:24.381139+00:00,BTC/USD,bitfinex,113830.0,bitstamp,113893.0,63.0,0.05534569094263375
2025-09-10T15:54:22.086371+00:00,XRP/USD,bitfinex,3.0032,coinbase,3.0054,0.0021999999999997577,0.0732551944592354
2025-09-10T15:54:22.086371+00:00,BTC/USD,bitfinex,113840.0,coinbase,113922.29,82.2899999999936,0.07228566408994518
2025-09-10T15:56:23.359294+00:00,BTC/USD,kraken,113867.5,bitstamp,113917.0,49.5,0.0434715788087031
2025-09-10T15:56:23.359294+00:00,XRP/USD,bitfinex,3.0041,coinbase,3.0049,0.0007999999999999119,0.026630271961649476
2025-09-10T15:58:25.325174+00:00,BTC/USD,kraken,113868.9,coinbase,113918.03,49.13000000000466,0.043146109253716036
2025-09-10T15:58:25.325174+00:00,XRP/USD,bitfinex,3.0026,bitstamp,3.00297,0.0003699999999997594,0.012322653700118542
2025-09-10T16:00:25.824779+00:00,XRP/USD,kraken,3.00258,bitstamp,3.00439,0.0018099999999998673,0.06028149125085318
2025-09-10T16:00:25.824779+00:00,BTC/USD,kraken,113892.3,coinbase,113941.05,48.75,0.04280359602887992
2025-09-10T16:02:27.054167+00:00,XRP/USD,kraken,3.00342,bitstamp,3.00566,0.0022400000000000198,0.07458164359297133
2025-09-10T16:02:27.054167+00:00,BTC/USD,bitfinex,113870.0,kraken,113945.1,75.10000000000582,0.06595240186177731
2025-09-10T16:04:23.239776+00:00,BTC/USD,bitfinex,113850.0,bitstamp,113896.0,46.0,0.0404040404040404
2025-09-10T16:04:23.239776+00:00,XRP/USD,bitfinex,3.0019,bitstamp,3.0028,0.0009000000000001229,0.02998101202572114
2025-09-10T16:06:25.150129+00:00,BTC/USD,bitfinex,113850.0,kraken,113889.6,39.60000000000582,0.03478260869565729
2025-09-10T16:06:25.150129+00:00,XRP/USD,kraken,3.00001,coinbase,3.0009,0.0008900000000000574,0.029666567778109318
2025-09-10T16:08:25.096518+00:00,BTC/USD,bitfinex,113780.0,kraken,113862.3,82.30000000000291,0.07233257162946292
2025-09-10T16:08:25.096518+00:00,XRP/USD,bitfinex,2.9971,kraken,2.99901,0.0019100000000000783,0.06372827066164219
2025-09-10T16:10:23.962405+00:00,XRP/USD,kraken,2.99451,bitstamp,2.99749,0.0029799999999999827,0.09951544660061187
2025-09-10T16:10:23.962405+00:00,BTC/USD,bitfinex,113730.0,bitstamp,113815.0,85.0,0.07473841554559044
2025-09-10T16:12:25.506704+00:00,XRP/USD,kraken,2.99241,bitstamp,2.99426,0.0018500000000001293,0.06182307905668439
2025-09-10T16:12:25.506704+00:00,BTC/USD,bitfinex,113730.0,bitstamp,113776.0,46.0,0.04044667194231953
2025-09-10T16:14:24.303647+00:00,XRP/USD,kraken,2.99192,bitstamp,2.9942,0.002280000000000282,0.07620524612958507
2025-09-10T16:14:24.303647+00:00,BTC/USD,bitfinex,113690.0,bitstamp,113771.0,81.0,0.07124637171255167
2025-09-10T16:16:24.165020+00:00,BTC/USD,bitfinex,113700.0,bitstamp,113811.0,111.0,0.09762532981530343
2025-09-10T16:16:24.165020+00:00,XRP/USD,kraken,2.99489,bitstamp,2.99728,0.0023900000000001143,0.0798025970903811
2025-09-10T16:18:26.580589+00:00,XRP/USD,bitfinex,2.9924,kraken,2.99327,0.0008699999999999264,0.029073653254909987
2025-09-10T16:18:26.580589+00:00,BTC/USD,bitfinex,113730.0,coinbase,113758.18,28.179999999993015,0.024777982942049605
